item_selection_id,export_date,export_filename,order_id,sent_date,item_id,menu_item,sales_category,gross_price,discount,net_price,qty,void_flag
SEL-00001557,2026-07-16,ItemSelectionDetails.csv,ORD-0000623,2026-07-16 09:09:17.515091,7635b7f716,Coastal Earrings,Fine Jewelry,14.51,1.45,13.06,1,0
SEL-00001558,2026-07-16,ItemSelectionDetails.csv,ORD-0000623,2026-07-16 09:09:17.515091,414e1646bf,Rustic Necklace,Tops,102.15,0.0,102.15,1,0
SEL-00001559,2026-07-16,ItemSelectionDetails.csv,ORD-0000623,2026-07-16 09:09:17.515091,ae309fab22,Vintage Candle,Outerwear,11.27,0.0,11.27,1,0
SEL-00001560,2026-07-16,ItemSelectionDetails.csv,ORD-0000623,2026-07-16 09:09:17.515091,151724ae73,Vintage Candle,Stationery,74.18,14.84,59.34,1,0
SEL-00001561,2026-07-16,ItemSelectionDetails.csv,ORD-0000624,2026-07-16 18:25:41.199361,a90f75939e,Classic Bottle,White Wine,76.43,0.0,76.43,1,0
SEL-00001562,2026-07-16,ItemSelectionDetails.csv,ORD-0000624,2026-07-16 18:25:41.199361,e881d11574,Rustic Scarf,Bags,48.28,4.83,43.45,1,0
SEL-00001563,2026-07-16,ItemSelectionDetails.csv,ORD-0000624,2026-07-16 18:25:41.199361,c1c48da2dc,Petite Necklace,White Wine,56.11,11.22,44.89,1,0
SEL-00001564,2026-07-16,ItemSelectionDetails.csv,ORD-0000625,2026-07-16 11:37:55.937599,cc9c7f9688,Signature Vase,Stationery,62.93,0.0,62.93,1,0
SEL-00001565,2026-07-16,ItemSelectionDetails.csv,ORD-0000625,2026-07-16 11:37:55.937599,afbcbb993c,Vintage Tote,Fashion Jewelry,69.94,0.0,69.94,1,0
SEL-00001566,2026-07-16,ItemSelectionDetails.csv,ORD-0000626,2026-07-16 11:13:02.897315,696fca8aec,Statement Bottle,Tops,252.18,0.0,252.18,3,0
SEL-00001567,2026-07-16,ItemSelectionDetails.csv,ORD-0000626,2026-07-16 11:13:02.897315,79d859b9e0,Rustic Necklace,Fine Jewelry,95.94,9.59,86.35,2,0
SEL-00001568,2026-07-16,ItemSelectionDetails.csv,ORD-0000627,2026-07-16 13:19:14.233305,afbcbb993c,Vintage Tote,Fashion Jewelry,69.94,13.99,55.95,1,0
SEL-00001569,2026-07-16,ItemSelectionDetails.csv,ORD-0000627,2026-07-16 13:19:14.233305,c8ebef167a,Petite Bottle,Stationery,54.47,5.45,49.02,1,0
SEL-00001570,2026-07-16,ItemSelectionDetails.csv,ORD-0000627,2026-07-16 13:19:14.233305,598b932d91,Petite Earrings,Outerwear,82.63,8.26,74.37,1,0
SEL-00001571,2026-07-16,ItemSelectionDetails.csv,ORD-0000627,2026-07-16 13:19:14.233305,3ff813895e,Modern Candle,Bags,184.34,0.0,184.34,1,0
SEL-00001572,2026-07-16,ItemSelectionDetails.csv,ORD-0000628,2026-07-16 14:19:55.078093,f8c364ea86,Coastal Tumbler,Kids,21.23,0.0,21.23,1,0
SEL-00001573,2026-07-16,ItemSelectionDetails.csv,ORD-0000628,2026-07-16 14:19:55.078093,18d0617483,Modern Necklace,Red Wine,65.33,0.0,65.33,1,0
SEL-00001574,2026-07-16,ItemSelectionDetails.csv,ORD-0000628,2026-07-16 14:19:55.078093,a525d8de6f,Petite Wrap,White Wine,162.52,32.5,130.02,1,0
SEL-00001575,2026-07-16,ItemSelectionDetails.csv,ORD-0000629,2026-07-16 10:59:57.308634,6edc2cbe96,Statement Scarf,Tabletop,82.54,8.25,74.29,2,0
SEL-00001576,2026-07-16,ItemSelectionDetails.csv,ORD-0000630,2026-07-16 11:56:39.751263,adf8479dad,Petite Tumbler,White Wine,52.31,10.46,41.85,1,0
SEL-00001577,2026-07-16,ItemSelectionDetails.csv,ORD-0000630,2026-07-16 11:56:39.751263,69ceada5df,Vintage Bracelet,Kids,116.74,11.67,105.07,1,0
SEL-00001578,2026-07-16,ItemSelectionDetails.csv,ORD-0000630,2026-07-16 11:56:39.751263,adf8479dad,Petite Tumbler,White Wine,52.31,0.0,52.31,1,0
SEL-00001579,2026-07-16,ItemSelectionDetails.csv,ORD-0000630,2026-07-16 11:56:39.751263,eb96c5bd41,Statement Scarf,Fashion Jewelry,69.24,0.0,69.24,2,0
SEL-00001580,2026-07-16,ItemSelectionDetails.csv,ORD-0000631,2026-07-16 11:53:55.148299,61fc056685,Petite Wrap,Red Wine,165.39,0.0,165.39,1,0
SEL-00001581,2026-07-16,ItemSelectionDetails.csv,ORD-0000631,2026-07-16 11:53:55.148299,a2c74f7d65,Rustic Bracelet,Outerwear,268.32,53.66,214.66,2,0
SEL-00001582,2026-07-16,ItemSelectionDetails.csv,ORD-0000632,2026-07-16 16:06:09.218119,8d71beece9,Statement Tote,Scarves,233.9,0.0,233.9,2,0
SEL-00001583,2026-07-16,ItemSelectionDetails.csv,ORD-0000633,2026-07-16 17:34:16.248870,c77ff8d851,Vintage Bracelet,Bags,149.0,0.0,149.0,1,0
SEL-00001584,2026-07-16,ItemSelectionDetails.csv,ORD-0000633,2026-07-16 17:34:16.248870,a910612d6f,Heritage Scarf,Red Wine,263.85,0.0,263.85,3,0
SEL-00001585,2026-07-16,ItemSelectionDetails.csv,ORD-0000633,2026-07-16 17:34:16.248870,e68a4b2a1c,Classic Bottle,Red Wine,239.06,0.0,239.06,2,0
SEL-00001586,2026-07-16,ItemSelectionDetails.csv,ORD-0000634,2026-07-16 17:39:32.205289,f381537b5a,Petite Candle,Red Wine,72.99,0.0,72.99,1,0
SEL-00001587,2026-07-16,ItemSelectionDetails.csv,ORD-0000634,2026-07-16 17:39:32.205289,29f06ed427,Modern Vase,Fine Jewelry,99.13,0.0,99.13,1,0
SEL-00001588,2026-07-16,ItemSelectionDetails.csv,ORD-0000635,2026-07-16 09:44:00.046195,0fdd317282,Everyday Wrap,White Wine,61.56,0.0,61.56,1,0
SEL-00001589,2026-07-16,ItemSelectionDetails.csv,ORD-0000635,2026-07-16 09:44:00.046195,0f23b68b17,Statement Necklace,Stationery,142.35,14.23,128.12,1,0
SEL-00001590,2026-07-16,ItemSelectionDetails.csv,ORD-0000636,2026-07-16 17:49:55.913060,a910612d6f,Heritage Scarf,Red Wine,87.95,0.0,87.95,1,0
SEL-00001591,2026-07-16,ItemSelectionDetails.csv,ORD-0000637,2026-07-16 09:30:32.630692,b78625e915,Statement Vase,Fine Jewelry,130.69,0.0,130.69,1,0
SEL-00001592,2026-07-16,ItemSelectionDetails.csv,ORD-0000637,2026-07-16 09:30:32.630692,fd310f1b1b,Petite Necklace,Fashion Jewelry,147.84,14.78,133.06,1,0
SEL-00001593,2026-07-16,ItemSelectionDetails.csv,ORD-0000637,2026-07-16 09:30:32.630692,287df149f6,Everyday Wrap,Bags,100.62,0.0,100.62,1,0
SEL-00001594,2026-07-16,ItemSelectionDetails.csv,ORD-0000637,2026-07-16 09:30:32.630692,7635b7f716,Coastal Earrings,Fine Jewelry,43.53,0.0,43.53,3,0
SEL-00001595,2026-07-16,ItemSelectionDetails.csv,ORD-0000638,2026-07-16 18:17:17.097322,ec410f8658,Signature Wrap,Fine Jewelry,57.43,0.0,57.43,1,0
SEL-00001596,2026-07-16,ItemSelectionDetails.csv,ORD-0000638,2026-07-16 18:17:17.097322,a910612d6f,Heritage Scarf,Red Wine,175.9,0.0,175.9,2,0
SEL-00001597,2026-07-16,ItemSelectionDetails.csv,ORD-0000639,2026-07-16 12:19:25.399975,29f06ed427,Modern Vase,Fine Jewelry,99.13,19.83,79.3,1,0
