item_selection_id,export_date,export_filename,order_id,sent_date,item_id,menu_item,sales_category,gross_price,discount,net_price,qty,void_flag
SEL-00001023,2026-07-11,ItemSelectionDetails.csv,ORD-0000408,2026-07-11 12:38:22.265642,4bcdf37dc6,Modern Bottle,Scarves,401.36,0.0,401.36,2,0
SEL-00001024,2026-07-11,ItemSelectionDetails.csv,ORD-0000408,2026-07-11 12:38:22.265642,9cd79d15ec,Coastal Tote,Candles,100.08,10.01,90.07,1,0
SEL-00001025,2026-07-11,ItemSelectionDetails.csv,ORD-0000409,2026-07-11 15:40:01.735048,6edc2cbe96,Statement Scarf,Tabletop,41.27,0.0,41.27,1,0
SEL-00001026,2026-07-11,ItemSelectionDetails.csv,ORD-0000410,2026-07-11 14:35:56.194212,2e1ea8db24,Vintage Tumbler,Scarves,62.49,0.0,62.49,1,0
SEL-00001027,2026-07-11,ItemSelectionDetails.csv,ORD-0000411,2026-07-11 17:08:53.296044,92663857be,Coastal Bottle,Scarves,155.88,0.0,155.88,2,0
SEL-00001028,2026-07-11,ItemSelectionDetails.csv,ORD-0000411,2026-07-11 17:08:53.296044,ff2caeca63,Modern Necklace,White Wine,168.34,16.83,151.51,2,0
SEL-00001029,2026-07-11,ItemSelectionDetails.csv,ORD-0000411,2026-07-11 17:08:53.296044,c459c1d573,Petite Tumbler,Candles,271.62,0.0,271.62,2,0
SEL-00001030,2026-07-11,ItemSelectionDetails.csv,ORD-0000412,2026-07-11 11:08:09.274483,696fca8aec,Statement Bottle,Tops,252.18,50.44,201.74,3,0
SEL-00001031,2026-07-11,ItemSelectionDetails.csv,ORD-0000412,2026-07-11 11:08:09.274483,efdd0204c0,Signature Tumbler,Outerwear,12.76,0.0,12.76,1,0
SEL-00001032,2026-07-11,ItemSelectionDetails.csv,ORD-0000413,2026-07-11 09:39:42.678569,414e1646bf,Rustic Necklace,Tops,102.15,0.0,102.15,1,0
SEL-00001033,2026-07-11,ItemSelectionDetails.csv,ORD-0000413,2026-07-11 09:39:42.678569,61a0327535,Rustic Cardigan,Tops,60.59,0.0,60.59,1,0
SEL-00001034,2026-07-11,ItemSelectionDetails.csv,ORD-0000413,2026-07-11 09:39:42.678569,1c7b7f4bad,Vintage Necklace,Fine Jewelry,68.76,6.88,61.88,1,0
SEL-00001035,2026-07-11,ItemSelectionDetails.csv,ORD-0000414,2026-07-11 11:26:15.799444,64906c5754,Rustic Tote,Bags,53.78,10.76,43.02,1,0
SEL-00001036,2026-07-11,ItemSelectionDetails.csv,ORD-0000415,2026-07-11 17:39:44.380006,f4219a15c0,Statement Necklace,Candles,173.12,0.0,173.12,2,0
SEL-00001037,2026-07-11,ItemSelectionDetails.csv,ORD-0000415,2026-07-11 17:39:44.380006,aa93d0dac7,Statement Bracelet,Candles,49.22,9.84,39.38,1,0
