item_selection_id,export_date,export_filename,order_id,sent_date,item_id,menu_item,sales_category,gross_price,discount,net_price,qty,void_flag
SEL-00001175,2026-07-13,ItemSelectionDetails.csv,ORD-0000473,2026-07-13 18:00:50.514432,a90f75939e,Classic Bottle,White Wine,229.29,45.86,183.43,3,0
SEL-00001176,2026-07-13,ItemSelectionDetails.csv,ORD-0000474,2026-07-13 13:49:42.554111,16712a93b7,Statement Scarf,Tops,160.72,0.0,160.72,2,0
SEL-00001177,2026-07-13,ItemSelectionDetails.csv,ORD-0000475,2026-07-13 11:41:01.602017,c8ebef167a,Petite Bottle,Stationery,54.47,10.89,43.58,1,0
SEL-00001178,2026-07-13,ItemSelectionDetails.csv,ORD-0000475,2026-07-13 11:41:01.602017,6af3a6d7a7,Modern Notebook,Tabletop,37.22,0.0,37.22,2,0
SEL-00001179,2026-07-13,ItemSelectionDetails.csv,ORD-0000476,2026-07-13 18:32:38.865910,ad92d680e8,Everyday Necklace,Fine Jewelry,43.87,4.39,39.48,1,1
SEL-00001180,2026-07-13,ItemSelectionDetails.csv,ORD-0000476,2026-07-13 18:32:38.865910,8341614063,Modern Bracelet,Scarves,126.5,0.0,126.5,2,1
SEL-00001181,2026-07-13,ItemSelectionDetails.csv,ORD-0000476,2026-07-13 18:32:38.865910,adf8479dad,Petite Tumbler,White Wine,52.31,5.23,47.08,1,1
SEL-00001182,2026-07-13,ItemSelectionDetails.csv,ORD-0000477,2026-07-13 11:09:23.062645,c77ff8d851,Vintage Bracelet,Bags,298.0,29.8,268.2,2,0
SEL-00001183,2026-07-13,ItemSelectionDetails.csv,ORD-0000478,2026-07-13 15:41:33.639250,ec410f8658,Signature Wrap,Fine Jewelry,114.86,11.49,103.37,2,0
SEL-00001184,2026-07-13,ItemSelectionDetails.csv,ORD-0000478,2026-07-13 15:41:33.639250,cd333fcb20,Everyday Candle,Candles,116.75,11.68,105.07,1,0
SEL-00001185,2026-07-13,ItemSelectionDetails.csv,ORD-0000478,2026-07-13 15:41:33.639250,eb2b3e41e1,Statement Cardigan,Fine Jewelry,89.85,8.98,80.87,1,0
SEL-00001186,2026-07-13,ItemSelectionDetails.csv,ORD-0000479,2026-07-13 11:39:53.689397,598b932d91,Petite Earrings,Outerwear,82.63,16.53,66.1,1,0
SEL-00001187,2026-07-13,ItemSelectionDetails.csv,ORD-0000480,2026-07-13 15:10:40.978914,3800bffa41,Everyday Wrap,Tabletop,174.44,0.0,174.44,1,0
SEL-00001188,2026-07-13,ItemSelectionDetails.csv,ORD-0000480,2026-07-13 15:10:40.978914,7ad72a22be,Everyday Tumbler,Fashion Jewelry,83.58,0.0,83.58,3,0
SEL-00001189,2026-07-13,ItemSelectionDetails.csv,ORD-0000480,2026-07-13 15:10:40.978914,afbcbb993c,Vintage Tote,Fashion Jewelry,209.82,41.96,167.86,3,0
SEL-00001190,2026-07-13,ItemSelectionDetails.csv,ORD-0000480,2026-07-13 15:10:40.978914,c11a85857c,Modern Scarf,Bags,43.38,8.68,34.7,1,0
SEL-00001191,2026-07-13,ItemSelectionDetails.csv,ORD-0000481,2026-07-13 15:10:46.797652,d89585ffeb,Modern Earrings,Bags,26.6,5.32,21.28,1,0
SEL-00001192,2026-07-13,ItemSelectionDetails.csv,ORD-0000482,2026-07-13 16:00:41.720297,e48cb9f3a7,Heritage Scarf,Fine Jewelry,112.96,0.0,112.96,1,0
SEL-00001193,2026-07-13,ItemSelectionDetails.csv,ORD-0000483,2026-07-13 11:29:27.792782,adf8479dad,Petite Tumbler,White Wine,52.31,0.0,52.31,1,0
SEL-00001194,2026-07-13,ItemSelectionDetails.csv,ORD-0000483,2026-07-13 11:29:27.792782,e9608f5248,Coastal Bottle,Bags,110.4,22.08,88.32,1,0
SEL-00001195,2026-07-13,ItemSelectionDetails.csv,ORD-0000483,2026-07-13 11:29:27.792782,79d859b9e0,Rustic Necklace,Fine Jewelry,47.97,0.0,47.97,1,0
SEL-00001196,2026-07-13,ItemSelectionDetails.csv,ORD-0000484,2026-07-13 13:24:01.063749,64906c5754,Rustic Tote,Bags,53.78,10.76,43.02,1,0
SEL-00001197,2026-07-13,ItemSelectionDetails.csv,ORD-0000484,2026-07-13 13:24:01.063749,f8c364ea86,Coastal Tumbler,Kids,63.69,6.37,57.32,3,0
SEL-00001198,2026-07-13,ItemSelectionDetails.csv,ORD-0000484,2026-07-13 13:24:01.063749,f381537b5a,Petite Candle,Red Wine,72.99,0.0,72.99,1,0
SEL-00001199,2026-07-13,ItemSelectionDetails.csv,ORD-0000484,2026-07-13 13:24:01.063749,f920903374,Coastal Wrap,Candles,127.29,0.0,127.29,1,0
SEL-00001200,2026-07-13,ItemSelectionDetails.csv,ORD-0000485,2026-07-13 09:11:39.560645,d05847f1c3,Vintage Cardigan,Tabletop,83.27,0.0,83.27,1,0
SEL-00001201,2026-07-13,ItemSelectionDetails.csv,ORD-0000485,2026-07-13 09:11:39.560645,c459c1d573,Petite Tumbler,Candles,135.81,27.16,108.65,1,0
SEL-00001202,2026-07-13,ItemSelectionDetails.csv,ORD-0000485,2026-07-13 09:11:39.560645,8ea2a92e5e,Rustic Necklace,Tops,147.66,14.77,132.89,3,0
SEL-00001203,2026-07-13,ItemSelectionDetails.csv,ORD-0000486,2026-07-13 09:55:12.402308,0cac5ef0f2,Classic Tote,Tops,21.13,2.11,19.02,1,0
SEL-00001204,2026-07-13,ItemSelectionDetails.csv,ORD-0000486,2026-07-13 09:55:12.402308,29dab935f8,Heritage Notebook,Candles,15.14,0.0,15.14,1,0
SEL-00001205,2026-07-13,ItemSelectionDetails.csv,ORD-0000486,2026-07-13 09:55:12.402308,001fc480b2,Classic Earrings,Bags,11.68,0.0,11.68,1,0
SEL-00001206,2026-07-13,ItemSelectionDetails.csv,ORD-0000487,2026-07-13 12:52:18.857237,3b4f2bb588,Heritage Notebook,White Wine,127.7,0.0,127.7,1,0
SEL-00001207,2026-07-13,ItemSelectionDetails.csv,ORD-0000487,2026-07-13 12:52:18.857237,7ad72a22be,Everyday Tumbler,Fashion Jewelry,27.86,0.0,27.86,1,0
SEL-00001208,2026-07-13,ItemSelectionDetails.csv,ORD-0000487,2026-07-13 12:52:18.857237,8d71beece9,Statement Tote,Scarves,233.9,0.0,233.9,2,0
SEL-00001209,2026-07-13,ItemSelectionDetails.csv,ORD-0000488,2026-07-13 16:12:55.706124,16712a93b7,Statement Scarf,Tops,80.36,0.0,80.36,1,0
SEL-00001210,2026-07-13,ItemSelectionDetails.csv,ORD-0000488,2026-07-13 16:12:55.706124,afbcbb993c,Vintage Tote,Fashion Jewelry,139.88,13.99,125.89,2,0
SEL-00001211,2026-07-13,ItemSelectionDetails.csv,ORD-0000488,2026-07-13 16:12:55.706124,e881d11574,Rustic Scarf,Bags,48.28,9.66,38.62,1,0
SEL-00001212,2026-07-13,ItemSelectionDetails.csv,ORD-0000488,2026-07-13 16:12:55.706124,7635b7f716,Coastal Earrings,Fine Jewelry,14.51,0.0,14.51,1,0
SEL-00001213,2026-07-13,ItemSelectionDetails.csv,ORD-0000489,2026-07-13 15:20:57.998873,ca527034d4,Coastal Tumbler,Fine Jewelry,24.9,0.0,24.9,2,0
SEL-00001214,2026-07-13,ItemSelectionDetails.csv,ORD-0000489,2026-07-13 15:20:57.998873,24901169a4,Everyday Bracelet,Bags,160.95,32.19,128.76,1,0
SEL-00001215,2026-07-13,ItemSelectionDetails.csv,ORD-0000489,2026-07-13 15:20:57.998873,d05847f1c3,Vintage Cardigan,Tabletop,249.81,0.0,249.81,3,0
SEL-00001216,2026-07-13,ItemSelectionDetails.csv,ORD-0000490,2026-07-13 09:46:24.598516,92663857be,Coastal Bottle,Scarves,155.88,0.0,155.88,2,0
SEL-00001217,2026-07-13,ItemSelectionDetails.csv,ORD-0000490,2026-07-13 09:46:24.598516,ce445b794f,Rustic Cardigan,Outerwear,21.47,2.15,19.32,1,0
SEL-00001218,2026-07-13,ItemSelectionDetails.csv,ORD-0000490,2026-07-13 09:46:24.598516,88d765de81,Signature Tote,Fine Jewelry,99.42,0.0,99.42,3,0
SEL-00001219,2026-07-13,ItemSelectionDetails.csv,ORD-0000491,2026-07-13 12:01:56.280848,b8829bd88e,Coastal Notebook,Scarves,59.76,0.0,59.76,1,0
