order_id,export_date,export_filename,opened,guest_count,discount_amount,total,voided
ORD-0000473,2026-07-13,OrderDetails.csv,2026-07-13 18:00:50.514432,2,45.86,183.43,0
ORD-0000474,2026-07-13,OrderDetails.csv,2026-07-13 13:49:42.554111,2,0.0,160.72,0
ORD-0000475,2026-07-13,OrderDetails.csv,2026-07-13 11:41:01.602017,3,10.89,80.8,0
ORD-0000476,2026-07-13,OrderDetails.csv,2026-07-13 18:32:38.865910,2,9.62,213.06,1
ORD-0000477,2026-07-13,OrderDetails.csv,2026-07-13 11:09:23.062645,2,29.8,268.2,0
ORD-0000478,2026-07-13,OrderDetails.csv,2026-07-13 15:41:33.639250,3,32.15,289.31,0
ORD-0000479,2026-07-13,OrderDetails.csv,2026-07-13 11:39:53.689397,3,16.53,66.1,0
ORD-0000480,2026-07-13,OrderDetails.csv,2026-07-13 15:10:40.978914,1,50.64,460.58,0
ORD-0000481,2026-07-13,OrderDetails.csv,2026-07-13 15:10:46.797652,2,5.32,21.28,0
ORD-0000482,2026-07-13,OrderDetails.csv,2026-07-13 16:00:41.720297,1,0.0,112.96,0
ORD-0000483,2026-07-13,OrderDetails.csv,2026-07-13 11:29:27.792782,1,22.08,188.6,0
ORD-0000484,2026-07-13,OrderDetails.csv,2026-07-13 13:24:01.063749,3,17.13,300.62,0
ORD-0000485,2026-07-13,OrderDetails.csv,2026-07-13 09:11:39.560645,3,41.93,324.81,0
ORD-0000486,2026-07-13,OrderDetails.csv,2026-07-13 09:55:12.402308,1,2.11,45.84,0
ORD-0000487,2026-07-13,OrderDetails.csv,2026-07-13 12:52:18.857237,1,0.0,389.46,0
ORD-0000488,2026-07-13,OrderDetails.csv,2026-07-13 16:12:55.706124,1,23.65,259.38,0
ORD-0000489,2026-07-13,OrderDetails.csv,2026-07-13 15:20:57.998873,3,32.19,403.47,0
ORD-0000490,2026-07-13,OrderDetails.csv,2026-07-13 09:46:24.598516,1,2.15,274.62,0
ORD-0000491,2026-07-13,OrderDetails.csv,2026-07-13 12:01:56.280848,2,61.89,347.19,0
ORD-0000492,2026-07-13,OrderDetails.csv,2026-07-13 17:04:15.809293,3,0.0,144.74,0
ORD-0000493,2026-07-13,OrderDetails.csv,2026-07-13 09:38:34.311374,1,28.5,320.2,0
ORD-0000494,2026-07-13,OrderDetails.csv,2026-07-13 10:46:25.292666,1,18.38,73.54,0
ORD-0000495,2026-07-13,OrderDetails.csv,2026-07-13 13:49:01.414982,2,0.0,243.45,0
ORD-0000496,2026-07-13,OrderDetails.csv,2026-07-13 13:46:03.974924,2,0.0,477.69,0
ORD-0000497,2026-07-13,OrderDetails.csv,2026-07-13 12:20:39.991437,1,24.38,308.58,0
ORD-0000498,2026-07-13,OrderDetails.csv,2026-07-13 18:25:17.641882,1,6.63,59.65,0
ORD-0000499,2026-07-13,OrderDetails.csv,2026-07-13 16:45:58.220102,1,23.69,299.1,0
ORD-0000500,2026-07-13,OrderDetails.csv,2026-07-13 10:44:32.650952,1,76.91,692.3,0
ORD-0000501,2026-07-13,OrderDetails.csv,2026-07-13 14:57:04.971592,2,0.0,350.41,0
ORD-0000502,2026-07-13,OrderDetails.csv,2026-07-13 16:21:05.840144,2,10.52,42.08,0
ORD-0000503,2026-07-13,OrderDetails.csv,2026-07-13 17:37:35.417870,3,116.84,748.03,0
ORD-0000504,2026-07-13,OrderDetails.csv,2026-07-13 15:03:35.701246,2,94.19,499.09,0
ORD-0000505,2026-07-13,OrderDetails.csv,2026-07-13 15:39:27.006991,3,55.32,538.07,0
ORD-0000506,2026-07-13,OrderDetails.csv,2026-07-13 12:56:36.521872,3,110.4,1073.68,0
ORD-0000507,2026-07-13,OrderDetails.csv,2026-07-13 13:34:56.029951,1,62.51,756.55,0
ORD-0000508,2026-07-13,OrderDetails.csv,2026-07-13 18:06:51.777333,1,4.51,479.69,0
ORD-0000509,2026-07-13,OrderDetails.csv,2026-07-13 17:48:35.591896,1,6.22,419.24,0
ORD-0000510,2026-07-13,OrderDetails.csv,2026-07-13 15:18:15.104279,1,0.0,144.74,0
ORD-0000511,2026-07-13,OrderDetails.csv,2026-07-13 16:37:38.897488,2,38.97,591.35,0
ORD-0000512,2026-07-13,OrderDetails.csv,2026-07-13 12:50:07.598275,2,0.0,209.82,0
ORD-0000513,2026-07-13,OrderDetails.csv,2026-07-13 14:00:49.884383,1,2.11,127.96,0
ORD-0000514,2026-07-13,OrderDetails.csv,2026-07-13 14:35:16.935284,1,0.0,59.79,0
ORD-0000515,2026-07-13,OrderDetails.csv,2026-07-13 17:30:05.105237,3,0.0,41.27,0
ORD-0000516,2026-07-13,OrderDetails.csv,2026-07-13 12:59:27.876935,3,84.35,475.76,0
ORD-0000517,2026-07-13,OrderDetails.csv,2026-07-13 18:01:24.132458,3,40.3,392.0,0
ORD-0000518,2026-07-13,OrderDetails.csv,2026-07-13 13:34:26.053141,1,0.0,265.54,0
ORD-0000519,2026-07-13,OrderDetails.csv,2026-07-13 13:01:29.768997,3,0.0,370.22,0
ORD-0000520,2026-07-13,OrderDetails.csv,2026-07-13 11:36:14.200415,2,12.37,286.94,0
ORD-0000521,2026-07-13,OrderDetails.csv,2026-07-13 11:26:16.308000,2,32.5,292.54,0
ORD-0000522,2026-07-13,OrderDetails.csv,2026-07-13 11:38:51.352515,2,11.22,44.89,0
ORD-0000523,2026-07-13,OrderDetails.csv,2026-07-13 10:32:02.659674,2,46.78,389.83,0
