order_id,export_date,export_filename,opened,guest_count,discount_amount,total,voided
ORD-0000338,2026-07-09,OrderDetails.csv,2026-07-09 09:17:32.298551,3,14.78,133.06,0
ORD-0000339,2026-07-09,OrderDetails.csv,2026-07-09 18:22:27.012599,2,41.79,489.44,0
ORD-0000340,2026-07-09,OrderDetails.csv,2026-07-09 09:24:12.258309,2,0.0,59.76,0
ORD-0000341,2026-07-09,OrderDetails.csv,2026-07-09 16:54:59.188710,1,0.0,240.36,0
ORD-0000342,2026-07-09,OrderDetails.csv,2026-07-09 11:39:25.760365,1,1.25,237.48,0
ORD-0000343,2026-07-09,OrderDetails.csv,2026-07-09 09:42:31.509397,2,49.27,259.24,0
ORD-0000344,2026-07-09,OrderDetails.csv,2026-07-09 12:10:22.708162,2,0.0,536.2,0
ORD-0000345,2026-07-09,OrderDetails.csv,2026-07-09 16:57:15.620739,3,0.0,97.45,0
ORD-0000346,2026-07-09,OrderDetails.csv,2026-07-09 12:37:27.044596,1,21.9,386.74,0
ORD-0000347,2026-07-09,OrderDetails.csv,2026-07-09 09:01:17.501019,2,2.79,25.07,0
ORD-0000348,2026-07-09,OrderDetails.csv,2026-07-09 12:34:00.516178,1,10.07,359.97,0
ORD-0000349,2026-07-09,OrderDetails.csv,2026-07-09 17:33:52.965770,3,0.0,37.35,0
ORD-0000350,2026-07-09,OrderDetails.csv,2026-07-09 16:03:30.122257,2,4.28,17.14,0
ORD-0000351,2026-07-09,OrderDetails.csv,2026-07-09 15:22:32.744103,2,49.89,600.42,0
ORD-0000352,2026-07-09,OrderDetails.csv,2026-07-09 17:24:59.792522,2,0.0,127.7,0
ORD-0000353,2026-07-09,OrderDetails.csv,2026-07-09 18:10:57.859984,2,0.0,437.38,0
ORD-0000354,2026-07-09,OrderDetails.csv,2026-07-09 11:54:26.027084,1,0.0,240.36,0
ORD-0000355,2026-07-09,OrderDetails.csv,2026-07-09 14:15:42.428433,1,0.0,179.75,0
ORD-0000356,2026-07-09,OrderDetails.csv,2026-07-09 14:44:17.823323,2,37.06,443.05,0
ORD-0000357,2026-07-09,OrderDetails.csv,2026-07-09 11:06:57.127410,3,0.0,22.54,0
ORD-0000358,2026-07-09,OrderDetails.csv,2026-07-09 17:57:20.817288,2,30.65,848.67,0
ORD-0000359,2026-07-09,OrderDetails.csv,2026-07-09 14:24:45.638585,3,30.65,149.22,0
ORD-0000360,2026-07-09,OrderDetails.csv,2026-07-09 18:44:48.308548,2,9.84,390.23,0
ORD-0000361,2026-07-09,OrderDetails.csv,2026-07-09 13:24:22.413073,3,1.43,12.88,0
ORD-0000362,2026-07-09,OrderDetails.csv,2026-07-09 14:22:24.405341,3,75.31,547.64,0
ORD-0000363,2026-07-09,OrderDetails.csv,2026-07-09 11:54:17.897900,1,23.75,342.88,0
ORD-0000364,2026-07-09,OrderDetails.csv,2026-07-09 13:10:13.649115,3,49.84,434.47,0
ORD-0000365,2026-07-09,OrderDetails.csv,2026-07-09 17:56:21.748456,1,0.0,74.18,0
ORD-0000366,2026-07-09,OrderDetails.csv,2026-07-09 10:33:41.146341,1,29.57,118.27,0
ORD-0000367,2026-07-09,OrderDetails.csv,2026-07-09 09:41:36.456184,2,31.18,579.14,0
ORD-0000368,2026-07-09,OrderDetails.csv,2026-07-09 15:31:26.270571,2,2.86,265.31,0
ORD-0000369,2026-07-09,OrderDetails.csv,2026-07-09 13:46:26.061361,1,39.22,288.8,0
ORD-0000370,2026-07-09,OrderDetails.csv,2026-07-09 15:43:27.358490,3,19.44,657.7,0
ORD-0000371,2026-07-09,OrderDetails.csv,2026-07-09 13:12:32.329155,1,32.5,242.63,0
ORD-0000372,2026-07-09,OrderDetails.csv,2026-07-09 17:18:31.620769,1,12.77,402.89,0
ORD-0000373,2026-07-09,OrderDetails.csv,2026-07-09 09:45:56.260516,3,0.0,129.9,0
ORD-0000374,2026-07-09,OrderDetails.csv,2026-07-09 16:32:07.271208,1,26.29,609.83,0
ORD-0000375,2026-07-09,OrderDetails.csv,2026-07-09 10:26:35.771141,3,0.0,56.29,0
ORD-0000376,2026-07-09,OrderDetails.csv,2026-07-09 13:59:11.035187,2,4.25,297.23,0
ORD-0000377,2026-07-09,OrderDetails.csv,2026-07-09 10:55:38.624117,2,8.42,96.98,0
ORD-0000378,2026-07-09,OrderDetails.csv,2026-07-09 11:26:11.641781,1,49.03,716.44,0
ORD-0000379,2026-07-09,OrderDetails.csv,2026-07-09 16:14:07.068129,1,2.34,565.58,0
ORD-0000380,2026-07-09,OrderDetails.csv,2026-07-09 14:12:42.274913,3,24.04,216.32,0
ORD-0000381,2026-07-09,OrderDetails.csv,2026-07-09 09:21:14.616816,3,34.89,585.09,0
